Country,Population,Yearly change,Yearly Change,Migrants(net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop,Urban Population,Country's Share of World pop,World Population,Global Rank,"Land Area
 (Km²)"
Netherlands,"17,134,872",0.22,"37,742","16,000",43.3,1.66,508,92.5,"15,847,281",0.22,"7,794,798,739",69,"33,720"
Senegal,"16,743,927",2.75,"447,563","-20,000",18.5,4.65,87,49.4,"8,277,123",0.21,"7,794,798,739",70,"192,530"
Cambodia,"16,718,965",1.41,"232,423","-30,000",25.6,2.52,95,24.2,"4,050,459",0.21,"7,794,798,739",71,"176,520"
Chad,"16,425,864",3,"478,988","2,000",16.6,5.8,13,23.3,"3,830,260",0.21,"7,794,798,739",72,"1,259,200"
Somalia,"15,893,222",2.92,"450,317","-40,000",16.7,6.12,25,46.8,"7,431,038",0.2,"7,794,798,739",73,"627,340"
Zimbabwe,"14,862,924",1.48,"217,456","-116,858",18.7,3.63,38,38.4,"5,700,460",0.19,"7,794,798,739",74,"386,850"
Guinea,"13,132,795",2.83,"361,549","-4,000",18,4.74,53,38.6,"5,070,656",0.17,"7,794,798,739",75,"245,720"
Rwanda,"12,952,218",2.58,"325,268","-9,000",20,4.1,525,17.6,"2,281,330",0.17,"7,794,798,739",76,"24,670"
Benin,"12,123,200",2.73,"322,049","-2,000",18.8,4.87,108,48.4,"5,869,303",0.16,"7,794,798,739",77,"112,760"
Burundi,"11,890,784",3.12,"360,204","2,001",17.3,5.45,463,13.8,"1,636,586",0.15,"7,794,798,739",78,"25,680"
Tunisia,"11,818,619",1.06,"123,900","-4,000",32.8,2.2,76,70.1,"8,280,799",0.15,"7,794,798,739",79,"155,360"
Bolivia,"11,673,021",1.39,"159,921","-9,504",25.6,2.75,11,69.3,"8,094,974",0.15,"7,794,798,739",80,"1,083,300"
Belgium,"11,589,623",0.44,"50,295","48,000",41.9,1.71,383,98.3,"11,396,775",0.15,"7,794,798,739",81,"30,280"
Haiti,"11,402,528",1.24,"139,451","-35,000",24,2.96,414,56.9,"6,491,525",0.15,"7,794,798,739",82,"27,560"
Cuba,"11,326,616",-0.06,"-6,867","-14,400",42.2,1.62,106,78.3,"8,873,848",0.15,"7,794,798,739",83,"106,440"
South Sudan,"11,193,725",1.19,"131,612","-174,200",19,4.74,18,24.6,"2,749,061",0.14,"7,794,798,739",84,"610,952"
Dominican Republic,"10,847,910",1.01,"108,952","-30,000",28,2.36,225,84.5,"9,168,876",0.14,"7,794,798,739",85,"48,320"
Czech Republic,"10,708,981",0.18,"19,772","22,011",43.2,1.64,139,73.5,"7,875,268",0.14,"7,794,798,739",86,"77,240"
Greece,"10,423,054",-0.48,"-50,401","-16,000",45.6,1.3,81,84.9,"8,850,409",0.13,"7,794,798,739",87,"128,900"
Jordan,"10,203,134",1,"101,440","10,220",23.8,2.77,115,91.5,"9,332,603",0.13,"7,794,798,739",88,"88,780"
Portugal,"10,196,709",-0.29,"-29,478","-6,000",46.2,1.29,111,66.5,"6,775,807",0.13,"7,794,798,739",89,"91,590"
Azerbaijan,"10,139,177",0.91,"91,459","1,200",32.3,2.08,123,56.2,"5,695,930",0.13,"7,794,798,739",90,"82,658"
Sweden,"10,099,265",0.63,"62,886","40,000",41.1,1.85,25,88.2,"8,904,762",0.13,"7,794,798,739",91,"410,340"
Honduras,"9,904,607",1.63,"158,490","-6,800",24.3,2.49,89,57.3,"5,672,054",0.13,"7,794,798,739",92,"111,890"
United Arab Emirates,"9,890,402",1.23,"119,873","40,000",32.6,1.42,118,86.4,"8,542,144",0.13,"7,794,798,739",93,"83,600"
Hungary,"9,660,351",-0.25,"-24,328","6,000",43.3,1.49,107,71.7,"6,921,767",0.12,"7,794,798,739",94,"90,530"
Tajikistan,"9,537,645",2.32,"216,627","-20,000",22.4,3.61,68,27.3,"2,606,273",0.12,"7,794,798,739",95,"139,960"
Belarus,"9,449,323",-0.03,"-3,088","8,730",40.3,1.71,47,79.2,"7,483,636",0.12,"7,794,798,739",96,"202,910"
Austria,"9,006,398",0.57,"51,296","65,000",43.5,1.53,109,57.3,"5,159,360",0.12,"7,794,798,739",97,"82,409"
Papua New Guinea,"8,947,024",1.95,"170,915",-800,22.4,3.59,20,13.1,"1,168,469",0.11,"7,794,798,739",98,"452,860"
Serbia,"8,737,371",-0.4,"-34,864","4,000",41.6,1.46,100,56.2,"4,913,067",0.11,"7,794,798,739",99,"87,460"
Israel,"8,655,535",1.6,"136,158","10,000",30.5,3.04,400,93.2,"8,067,603",0.11,"7,794,798,739",100,"21,640"
